continuous_cols,categorical_cols,target_var
Name,Rating Agency Name,Rating
Symbol,Sector,
Date,,
currentRatio,,
quickRatio,,
cashRatio,,
daysOfSalesOutstanding,,
netProfitMargin,,
pretaxProfitMargin,,
grossProfitMargin,,
operatingProfitMargin,,
returnOnAssets,,
returnOnCapitalEmployed,,
returnOnEquity,,
assetTurnover,,
fixedAssetTurnover,,
debtEquityRatio,,
debtRatio,,
effectiveTaxRate,,
freeCashFlowOperatingCashFlowRatio,,
freeCashFlowPerShare,,
cashPerShare,,
companyEquityMultiplier,,
ebitPerRevenue,,
enterpriseValueMultiple,,
operatingCashFlowPerShare,,
operatingCashFlowSalesRatio,,
payablesTurnover,,
